iter	Passed	Remaining
0	135	135736
1	136	68221
2	137	45689
3	138	34418
4	138	27654
5	139	23158
6	141	20027
7	142	17639
8	142	15728
9	143	14195
10	144	12953
11	144	11914
12	145	11031
13	145	10282
14	146	9629
15	147	9059
16	147	8551
17	148	8100
18	149	7694
19	149	7329
20	150	7000
21	150	6699
22	151	6424
23	151	6172
24	152	5941
25	152	5727
26	153	5528
27	154	5347
28	155	5190
29	156	5052
30	171	5372
31	172	5219
32	173	5076
33	174	4946
34	174	4819
35	175	4702
36	176	4583
37	176	4471
38	177	4364
39	177	4262
40	178	4166
41	178	4075
42	179	3988
43	179	3906
44	180	3826
45	180	3750
46	181	3677
47	181	3607
48	182	3540
49	182	3476
50	183	3414
51	184	3355
52	184	3303
53	185	3250
54	202	3473
55	202	3418
56	203	3364
57	204	3315
58	204	3264
59	205	3214
60	205	3166
61	206	3121
62	207	3078
63	207	3034
64	208	2992
65	208	2950
66	209	2910
67	209	2868
68	209	2830
69	210	2793
70	210	2758
71	211	2724
72	211	2691
73	212	2659
74	213	2628
75	213	2597
76	214	2567
77	214	2538
78	215	2511
79	216	2485
80	216	2459
81	229	2571
82	232	2573
83	233	2546
84	233	2517
85	234	2493
86	235	2467
87	235	2442
88	236	2417
89	236	2392
90	237	2369
91	237	2345
92	238	2322
93	238	2300
94	239	2279
95	239	2257
96	240	2236
97	240	2215
98	241	2194
99	241	2174
100	242	2155
101	242	2133
102	242	2114
103	243	2096
104	243	2078
105	244	2060
106	244	2043
107	245	2026
108	246	2011
109	246	1997
110	251	2014
111	262	2084
112	263	2068
113	264	2051
114	264	2036
115	265	2020
116	265	2005
117	266	1990
118	266	1974
119	267	1959
120	267	1944
121	268	1930
122	268	1913
123	268	1899
124	269	1886
125	269	1872
126	270	1859
127	270	1845
128	271	1832
129	271	1819
130	272	1807
131	272	1794
132	273	1782
133	273	1770
134	274	1758
135	274	1746
136	275	1735
137	275	1723
138	276	1713
139	277	1703
140	280	1710
141	293	1774
142	294	1763
143	294	1752
144	295	1742
145	296	1733
146	296	1723
147	297	1712
148	298	1704
149	299	1695
150	299	1685
151	300	1674
152	300	1665
153	301	1655
154	301	1645
155	302	1637
156	303	1628
157	304	1621
158	304	1612
159	305	1602
160	305	1594
161	306	1586
162	307	1581
163	310	1582
164	324	1639
165	324	1631
166	325	1622
167	326	1615
168	326	1607
169	327	1599
170	328	1590
171	328	1582
172	329	1573
173	332	1579
174	333	1571
175	333	1563
176	334	1555
177	334	1546
178	335	1538
179	335	1530
180	336	1521
181	337	1514
182	337	1508
183	338	1501
184	355	1566
185	356	1559
186	356	1551
187	357	1544
188	358	1536
189	358	1528
190	359	1521
191	359	1513
192	360	1506
193	360	1499
194	361	1491
195	361	1484
196	362	1476
197	362	1469
198	363	1462
199	363	1455
200	364	1448
201	364	1441
202	365	1434
203	365	1427
204	366	1420
205	366	1413
206	367	1406
207	367	1400
208	368	1393
209	368	1387
210	369	1382
211	370	1376
212	376	1390
213	386	1419
214	388	1418
215	389	1412
216	389	1406
217	390	1399
218	390	1393
219	391	1387
220	391	1381
221	392	1375
222	392	1369
223	393	1363
224	394	1357
225	394	1351
226	394	1345
227	395	1338
228	395	1332
229	396	1327
230	396	1321
231	397	1315
232	397	1309
233	398	1303
234	398	1298
235	399	1293
236	400	1288
237	400	1283
238	401	1277
239	410	1301
240	417	1314
241	417	1309
242	418	1303
243	418	1297
244	419	1293
245	420	1288
246	420	1282
247	421	1277
248	421	1272
249	422	1266
250	422	1261
251	423	1256
252	423	1251
253	424	1246
254	424	1241
255	425	1236
256	425	1231
257	426	1226
258	426	1221
259	427	1216
260	427	1211
261	428	1206
262	428	1202
263	429	1197
264	430	1192
265	430	1188
266	431	1184
267	431	1179
268	442	1203
269	448	1211
270	448	1207
271	449	1202
272	450	1198
273	450	1194
274	451	1189
275	451	1185
276	452	1180
277	453	1176
278	453	1172
279	454	1167
280	454	1163
281	455	1159
282	455	1155
283	456	1150
284	456	1146
285	457	1141
286	457	1137
287	458	1133
288	459	1129
289	459	1125
290	460	1121
291	460	1117
292	461	1114
293	462	1110
294	462	1106
295	463	1102
296	464	1098
297	464	1094
298	465	1090
299	465	1086
300	466	1082
301	466	1078
302	467	1075
303	467	1071
304	468	1067
305	469	1063
306	469	1059
307	470	1056
308	470	1052
309	471	1048
310	471	1045
311	472	1041
312	472	1037
313	473	1034
314	473	1030
315	474	1026
316	474	1023
317	475	1019
318	476	1016
319	487	1036
320	492	1041
321	492	1037
322	493	1033
323	493	1030
324	494	1026
325	494	1022
326	495	1019
327	495	1015
328	496	1012
329	497	1009
330	497	1005
331	498	1002
332	498	998
333	499	995
334	499	991
335	500	988
336	500	985
337	501	981
338	501	978
339	502	975
340	502	971
341	503	968
342	504	965
343	504	962
344	505	959
345	505	956
346	506	953
347	512	960
348	522	975
349	523	972
350	524	970
351	525	966
352	525	963
353	526	960
354	526	957
355	527	954
356	528	951
357	528	947
358	529	944
359	529	941
360	530	938
361	530	935
362	531	932
363	531	929
364	532	926
365	533	923
366	533	920
367	534	917
368	534	914
369	535	910
370	535	907
371	535	904
372	536	901
373	536	898
374	537	895
375	547	908
376	553	914
377	554	911
378	554	908
379	555	905
380	555	902
381	556	899
382	556	896
383	557	893
384	557	890
385	558	887
386	558	884
387	559	881
388	559	878
389	560	876
390	560	873
391	561	870
392	561	867
393	562	864
394	562	862
395	563	859
396	563	856
397	564	853
398	565	851
399	565	848
400	565	845
401	566	842
402	566	839
403	567	837
404	567	834
405	568	832
406	581	847
407	583	846
408	583	843
409	584	840
410	584	838
411	585	835
412	585	832
413	586	829
414	586	827
415	587	824
416	587	821
417	588	818
418	588	816
419	589	813
420	589	810
421	590	808
422	590	805
423	591	803
424	591	800
425	592	797
426	592	795
427	593	792
428	593	790
429	594	787
430	594	784
431	595	782
432	595	779
433	596	777
434	596	774
435	597	772
436	597	770
437	604	775
438	613	784
439	614	781
440	614	779
441	615	776
442	615	774
443	616	771
444	616	769
445	617	766
446	617	764
447	618	761
448	618	759
449	619	756
450	619	754
451	620	751
452	620	749
453	621	747
454	621	744
455	622	742
456	623	740
457	623	737
458	624	735
459	624	733
460	625	730
461	625	728
462	626	726
463	626	723
464	627	721
465	627	719
466	628	717
467	631	717
468	643	729
469	644	726
470	644	724
471	645	722
472	645	719
473	646	717
474	646	715
475	647	712
476	647	710
477	648	708
478	648	705
479	649	703
480	649	701
481	650	698
482	650	696
483	651	694
484	651	692
485	652	689
486	652	687
487	653	685
488	653	683
489	654	681
490	654	678
491	655	676
492	655	674
493	656	672
494	656	670
495	657	667
496	657	665
497	658	663
498	659	661
499	659	659
500	659	657
501	660	655
502	660	653
503	661	650
504	662	648
505	662	646
506	663	644
507	663	642
508	664	640
509	664	638
510	665	636
511	665	634
512	666	632
513	666	630
514	678	638
515	682	640
516	682	637
517	683	635
518	683	633
519	684	631
520	684	629
521	685	627
522	686	625
523	686	623
524	687	621
525	688	619
526	688	617
527	688	615
528	689	613
529	689	611
530	690	609
531	690	607
532	691	605
533	691	603
534	692	601
535	693	599
536	693	597
537	694	595
538	694	594
539	695	592
540	695	590
541	696	588
542	696	586
543	699	586
544	712	594
545	713	592
546	713	590
547	714	588
548	714	586
549	715	585
550	715	583
551	716	581
552	716	579
553	717	577
554	717	575
555	718	573
556	718	571
557	719	569
558	719	567
559	720	565
560	720	563
561	721	562
562	721	560
563	722	558
564	722	556
565	723	554
566	723	552
567	724	550
568	724	548
569	725	547
570	725	545
571	726	543
572	726	541
573	727	539
574	728	538
575	740	545
576	742	544
577	743	542
578	744	541
579	744	539
580	745	537
581	745	535
582	746	533
583	746	531
584	747	530
585	747	528
586	748	526
587	749	524
588	749	523
589	750	521
590	751	519
591	751	518
592	752	516
593	753	514
594	753	513
595	754	511
596	755	509
597	756	508
598	757	506
599	771	514
600	773	513
601	774	512
602	775	510
603	776	509
604	777	507
605	777	505
606	778	504
607	779	502
608	780	500
609	780	499
610	781	497
611	782	495
612	783	494
613	783	492
614	784	491
615	785	489
616	785	487
617	786	486
618	787	485
619	805	493
620	805	491
621	806	490
622	807	488
623	808	486
624	808	485
625	809	483
626	809	481
627	810	480
628	811	478
629	811	476
630	812	475
631	813	473
632	813	471
633	814	470
634	814	468
635	815	466
636	816	465
637	817	463
638	817	462
639	818	460
640	820	459
641	834	465
642	835	463
643	836	462
644	837	461
645	838	459
646	838	457
647	839	456
648	840	454
649	840	452
650	841	451
651	842	449
652	842	447
653	843	446
654	843	444
655	844	442
656	845	441
657	845	439
658	846	437
659	846	436
660	847	434
661	848	433
662	848	431
663	860	435
664	866	436
665	867	435
666	868	433
667	868	431
668	869	430
669	869	428
670	870	426
671	871	425
672	872	423
673	873	422
674	873	420
675	874	419
676	875	417
677	875	416
678	876	414
679	877	412
680	878	411
681	879	409
682	885	410
683	894	413
684	895	411
685	896	410
686	897	408
687	897	407
688	898	405
689	899	404
690	900	402
691	901	401
692	902	399
693	903	398
694	903	396
695	904	395
696	905	393
697	905	391
698	906	390
699	907	388
700	907	387
701	908	385
702	909	384
703	916	385
704	925	387
705	925	385
706	926	383
707	927	382
708	927	380
709	928	379
710	928	377
711	929	375
712	929	374
713	930	372
714	931	371
715	932	369
716	932	368
717	933	366
718	933	365
719	934	363
720	935	361
721	936	360
722	936	358
723	937	357
724	938	356
725	939	354
726	940	353
727	955	356
728	956	355
729	956	353
730	957	352
731	957	350
732	958	349
733	959	347
734	959	345
735	960	344
736	960	342
737	961	341
738	962	339
739	962	338
740	963	336
741	963	335
742	964	333
743	964	332
744	965	330
745	966	329
746	966	327
747	967	325
748	968	324
749	968	322
750	969	321
751	969	319
752	971	318
753	986	321
754	986	320
755	987	318
756	988	317
757	988	315
758	989	314
759	989	312
760	990	311
761	991	309
762	991	308
763	992	306
764	993	305
765	993	303
766	994	302
767	994	300
768	995	299
769	996	297
770	996	296
771	997	294
772	998	293
773	998	291
774	999	290
775	1000	288
776	1000	287
777	1011	288
778	1017	288
779	1017	287
780	1018	285
781	1019	284
782	1019	282
783	1020	281
784	1020	279
785	1021	278
786	1022	276
787	1022	275
788	1023	273
789	1024	272
790	1025	270
791	1026	269
792	1026	267
793	1027	266
794	1028	265
795	1028	263
796	1029	262
797	1030	260
798	1030	259
799	1031	257
800	1031	256
801	1046	258
802	1047	256
803	1048	255
804	1048	254
805	1049	252
806	1049	251
807	1050	249
808	1051	248
809	1051	246
810	1052	245
811	1053	243
812	1053	242
813	1054	241
814	1055	239
815	1056	238
816	1057	236
817	1057	235
818	1058	233
819	1058	232
820	1059	230
821	1059	229
822	1060	228
823	1060	226
824	1061	225
825	1067	224
826	1077	225
827	1078	223
828	1078	222
829	1079	221
830	1079	219
831	1080	218
832	1081	216
833	1081	215
834	1082	213
835	1082	212
836	1083	211
837	1084	209
838	1084	208
839	1085	206
840	1085	205
841	1086	203
842	1086	202
843	1087	201
844	1089	199
845	1089	198
846	1090	196
847	1091	195
848	1091	194
849	1092	192
850	1097	192
851	1108	192
852	1108	191
853	1109	189
854	1109	188
855	1110	186
856	1110	185
857	1111	183
858	1111	182
859	1112	181
860	1113	179
861	1113	178
862	1114	176
863	1115	175
864	1115	174
865	1116	172
866	1116	171
867	1117	169
868	1117	168
869	1118	167
870	1118	165
871	1119	164
872	1119	162
873	1120	161
874	1120	160
875	1121	158
876	1121	157
877	1122	155
878	1122	154
879	1126	153
880	1138	153
881	1139	152
882	1140	151
883	1141	149
884	1141	148
885	1142	146
886	1142	145
887	1143	144
888	1143	142
889	1144	141
890	1144	140
891	1145	138
892	1146	137
893	1146	135
894	1147	134
895	1147	133
896	1148	131
897	1148	130
898	1149	129
899	1149	127
900	1150	126
901	1150	125
902	1151	123
903	1151	122
904	1152	120
905	1152	119
906	1153	118
907	1160	117
908	1169	117
909	1170	115
910	1170	114
911	1171	113
912	1171	111
913	1172	110
914	1172	108
915	1173	107
916	1173	106
917	1174	104
918	1174	103
919	1175	102
920	1175	100
921	1176	99
922	1176	98
923	1177	96
924	1177	95
925	1178	94
926	1178	92
927	1179	91
928	1179	90
929	1180	88
930	1180	87
931	1181	86
932	1181	84
933	1182	83
934	1182	82
935	1183	80
936	1183	79
937	1184	78
938	1193	77
939	1198	76
940	1198	75
941	1199	73
942	1199	72
943	1200	71
944	1200	69
945	1201	68
946	1201	67
947	1202	65
948	1202	64
949	1203	63
950	1204	62
951	1204	60
952	1205	59
953	1205	58
954	1206	56
955	1206	55
956	1207	54
957	1207	52
958	1208	51
959	1208	50
960	1209	49
961	1209	47
962	1210	46
963	1210	45
964	1211	43
965	1211	42
966	1212	41
967	1212	40
968	1215	38
969	1228	38
970	1229	36
971	1229	35
972	1230	34
973	1230	32
974	1231	31
975	1231	30
976	1232	29
977	1232	27
978	1233	26
979	1233	25
980	1234	23
981	1235	22
982	1235	21
983	1236	20
984	1236	18
985	1237	17
986	1237	16
987	1238	15
988	1238	13
989	1239	12
990	1240	11
991	1241	10
992	1241	8
993	1242	7
994	1242	6
995	1243	4
996	1245	3
997	1259	2
998	1260	1
999	1260	0
